id,cas_odhoda,cas_prihoda
1,5:05,8:22
2,8:15,11:22
3,16:05,19:22
4,10:39,14:00
5,18:39,22:13
6,21:39,0:58
7,5:05,11:02
8,8:15,14:02
9,16:05,22:02
10,7:26,13:42
11,9:23,15:42
12,15:27,21:42
13,7:58,14:00
14,15:58,22:13
15,17:58,0:58
16,8:18,14:31
17,12:18,18:32
18,14:18,20:33
19,7:26,11:48
20,9:23,13:48
21,15:27,19:48
22,10:12,14:31
23,14:12,18:32
24,16:12,20:33
25,9:23,19:40
26,8:20,18:32
27,7:26,13:41
28,9:23,15:41
29,15:27,21:41
30,8:16,14:31
31,12:17,18:32
32,14:16,20:33
33,9:23,17:59
34,9:58,18:32
35,8:30,10:39
36,14:45,17:10
37,18:37,20:45
38,7:05,9:14
39,12:50,15:08
40,19:38,21:47
41,8:25,11:25
42,15:20,18:27
43,11:50,14:57
44,18:47,21:47
45,8:25,11:25
46,15:20,18:11
47,12:06,14:57
48,19:04,21:47
49,14:21,17:16
50,12:52,15:40
51,5:47,8:33
52,18:50,21:32
53,9:03,11:46
54,19:07,22:10
55,22:08,9:20
56,20:40,8:09
57,9:35,16:59
58,9:00,16:35
59,5:05,13:44
60,16:15,0:58
