id,cena_enosmerne,cena_povratne,
1,35.7,71.4,
2,35.7,71.4,
3,35.7,71.4,
4,35.7,71.4,
5,35.7,71.4,
6,35.7,71.4,
7,80.1,160.2,
8,80.1,160.2,
9,80.1,160.2,
10,88,176,
11,88,176,
12,88,176,
13,80.1,160.2,
14,80.1,160.2,
15,80.1,160.2,
16,88,176,
17,88,176,
18,88,176,
19,61.4,122.8,
20,61.4,122.8,
21,61.4,122.8,
22,61.4,122.8,
23,61.4,122.8,
24,61.4,122.8,
25,203.2,406.4,
26,203.2,406.4,
27,59.9,119.8,
28,59.9,119.8,
29,59.9,119.8,
30,59.9,119.8,
31,59.9,119.8,
32,59.9,119.8,
33,45.9,91.8,
34,45.9,91.8,
35,9,18,
36,9,18,
37,9,18,
38,9,18,
39,9,18,
40,9,18,
41,9,18,
42,9,18,
43,9,18,
44,9,18,
45,9,18,
46,9,18,
47,9,18,
48,9,18,
49,11.8,20,
50,11.8,20,
51,8,16,
52,8,16,
53,8,16,
54,8,16,
55,88.3,147.8,
56,88.3,147.8,
57,38.8,77.6,
58,38.8,77.6,
59,38.8,77.6,
60,38.8,77.6,
