zacetna_postaja,koncna_postaja,cas_odhoda,cas_prihoda,cena_enosmerne,cena_povratne,prestop,id,,,,
Ljubljana,Graz,5:05,8:22,35.7,71.4,0,1,,,,
Ljubljana,Graz,8:15,11:22,35.7,71.4,1,2,,,,
Ljubljana,Graz,16:05,19:22,35.7,71.4,0,3,,,,
Graz,Ljubljana,10:39,14:00,35.7,71.4,0,4,,,,
Graz,Ljubljana,18:39,22:13,35.7,71.4,1,5,,,,
Graz,Ljubljana,21:39,0:58,35.7,71.4,0,6,,,,
Ljubljana,Dunaj,5:05,11:02,80.1,160.2,1,7,,,,
Ljubljana,Dunaj,8:15,14:02,80.1,160.2,1,8,,,,
Ljubljana,Dunaj,16:05,22:02,80.1,160.2,0,9,,,,
Ljubljana,Dunaj,7:26,13:42,88,176,1,10,,,,
Ljubljana,Dunaj,9:23,15:42,88,176,1,11,,,,
Ljubljana,Dunaj,15:27,21:42,88,176,1,12,,,,
Dunaj,Ljubljana,7:58,14:00,80.1,160.2,0,13,,,,
Dunaj,Ljubljana,15:58,22:13,80.1,160.2,1,14,,,,
Dunaj,Ljubljana,17:58,0:58,80.1,160.2,1,15,,,,
Dunaj,Ljubljana,8:18,14:31,88,176,1,16,,,,
Dunaj,Ljubljana,12:18,18:32,88,176,1,17,,,,
Dunaj,Ljubljana,14:18,20:33,88,176,1,18,,,,
Ljubljana,Salzburg,7:26,11:48,61.4,122.8,1,19,,,,
Ljubljana,Salzburg,9:23,13:48,61.4,122.8,0,20,,,,
Ljubljana,Salzburg,15:27,19:48,61.4,122.8,1,21,,,,
Salzburg,Ljubljana,10:12,14:31,61.4,122.8,1,22,,,,
Salzburg,Ljubljana,14:12,18:32,61.4,122.8,0,23,,,,
Salzburg,Ljubljana,16:12,20:33,61.4,122.8,1,24,,,,
Ljubljana,Frankfurt,9:23,19:40,203.2,406.4,0,25,,,,
Frankfurt,Ljubljana,8:20,18:32,203.2,406.4,0,26,,,,
Ljubljana,München,7:26,13:41,59.9,119.8,1,27,,,,
Ljubljana,München,9:23,15:41,59.9,119.8,0,28,,,,
Ljubljana,München,15:27,21:41,59.9,119.8,1,29,,,,
München,Ljubljana,8:16,14:31,59.9,119.8,1,30,,,,
München,Ljubljana,12:17,18:32,59.9,119.8,0,31,,,,
München,Ljubljana,14:16,20:33,59.9,119.8,1,32,,,,
Ljubljana,Stuttgart,9:23,17:59,45.9,91.8,0,33,,,,
Stuttgart,Ljubljana,9:58,18:32,45.9,91.8,0,34,,,,
